Name,Borough,Area,Full_Address,Postcode,Opening_Times,Phone,Email,Website,Requirements,Cost,Services,Contact_Person,Notes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Opening_Time,Closing_Time,Time_Notes,Service_FoodBank,Service_CommunityMeals,Service_Delivery,Service_Clothing,Service_Utilities,Service_Furniture,Access_Type,Latitude,Longitude,Has_Complete_Info,Last_Updated,Coordinate_Source,,
Crescent Food Bank,Bolton,Bolton,"Bolton United Hub, 295A Blackburn Road, Bolton",BL1 8HB,Sundays 10am - 11am (Temporary),0333 772 6299,,https://www.crescentfoodbank.org.uk,Proof of benefits and ID required,Free,Food bank; Community meals; Utility bills support; School uniform; Furniture; Appliances,,,N,N,N,N,N,N,Y,10:00,11:00,Sundays 10am - 11am (Temporary),Y,Y,N,Y,Y,Y,Unknown,53.5929899,-2.4312511,Y,01/09/2025,simplified_address,,
Wonderfully made woman food bank,Bolton,Bolton,468 Halliwell road,BL1 8AN,,7354471340,emem@wonderfullymadewoman.org,https://www.wonderfullymadewoman.org,Referral required,Free,Food support for BAME families with culturally appropriate food; Delivery service available,Emem Eze,Seasonal support dependent on funding,N,N,N,N,N,N,N,,,,N,N,Y,N,N,N,Referral,53.5933206,-2.4405723,Y,01/09/2025,original,,
Emmaus Bolton A  Lucie's Pantry,Bolton,Bolton,"Derby Barracks, Fletcher Street",BL3 6NF,Tues Wed Thurs - timeslot given,01204 398056,info@emmausbolton.org.uk,https://emmaus.org.uk/bolton/,Short referral form required,Currently free (usually £2.50 per week),About £20 worth of groceries,,Based on need and location,N,Y,Y,Y,N,N,N,,,Tues Wed Thurs - timeslot given,N,N,N,N,N,N,Referral,53.5720469,-2.4341853,Y,01/09/2025,simplified_address,,
Local Welfare Provision,Bolton,Bolton,Salop Street office,,Monday-Friday 10am-12,01204 332772,,https://www.bolton.gov.uk/benefits/help-crisis-emergency,Emergency assistance eligibility criteria apply,Free,Emergency Food/Utility top up,,Bolton Council,Y,Y,Y,Y,Y,N,N,10:00,12:00,Monday-Friday 10am-12,Y,N,N,N,Y,N,Unknown,53.576254,-2.4229907,Y,01/09/2025,simplified_address,,
Storehouse Foodbank Urban Outreach,Bolton,Bolton,,,,01204 385848 ( 1),,https://www.urbanoutreach.co.uk/portfolio-posts/storehouse/,Referral required from authorized agency,Free,Foodbank; Collections and deliveries arranged individually,,,N,N,N,N,N,N,N,,,,Y,N,Y,N,N,N,Both,53.5730847,-2.4242641,N,01/09/2025,area,,
The Mill Community Grocery,Bolton,Bolton/Bury border,"The Mill, Bury Road, Bolton",BL2 6QE,9:30am A  4:30pm Monday A  Friday,01204 226511,bolton@communitygrocery.org.uk,https://communitygrocery.org.uk/bolton/,One membership per household,£5 membership/year; 12 Items £5; 18 items £7.50; 24 items £10; 30 items £12.50,Community grocery,,Visit once a day,Y,Y,Y,Y,Y,N,N,09:30,16:30,9:30am A  4:30pm Monday A  Friday,N,N,N,N,N,N,Unknown,53.5547336,-2.4152816,Y,01/09/2025,original,,
Breightmet Pantry,Bolton,Breightmet,"UCAN Centre, Deepdale Community Centre, Deepdale Road, Breightmet",,Thursday 1pm till 2.30pm,01204 329643,,https://www.boltonathome.org.uk/ucan,Registration required,Membership fees apply,Food pantry,,,N,N,N,Y,N,N,N,,,Thursday 1pm till 2.30pm,N,N,N,N,N,N,Unknown,53.5830028,-2.3845554,Y,01/09/2025,area,,
Bolton at Home UCAN Centre Halliwell Pantry,Bolton,Halliwell,"The Church of Nazarene, Yarrow Place",BL1 3UR,Monday 1 A  2.30pm,01204 385848 ( 1),,https://www.urbanoutreach.co.uk/portfolio-posts/storehouse/,Referral required from authorized agency,Free,Collection only through Urban Outreach,,,Y,N,N,N,N,N,N,01:00,02:00,Monday 1 A  2.30pm,N,N,N,N,N,N,Both,53.5878833,-2.439502,Y,01/09/2025,simplified_address,,
New Bury Pantry,Bolton,Farnworth,"New Bury Bolton at Home UCAN Centre, 59 George Street, Farnworth",BL4 9PU,Thursday 10am A  11.30am,01204 329786,,https://www.boltonathome.org.uk/ucan,Registration required,Membership fees apply,Food pantry,,,N,N,N,Y,N,N,N,10:00,11:00,Thursday 10am A  11.30am,N,N,N,N,N,N,Unknown,53.5436085,-2.4117079,Y,01/09/2025,simplified_address,,
Farnworth and Kearsley Trussell Trust,Bolton,Farnworth/Kearsley,"The Well, Trafford Street, Farnworth, Bolton",BL4 7PQ,Tuesday - Friday 12noon - 2pm,01204 861671,info@farnworthkearsley.foodbank.org.uk,http://farnworthkearsley.foodbank.org.uk/,Voucher required from foodbank partner,Free,Foodbank,,,N,Y,Y,Y,Y,N,N,,,Tuesday - Friday 12noon - 2pm,Y,N,N,N,N,N,Referral,53.5512616,-2.3961558,Y,01/09/2025,simplified_address,,
Hope & Peace Project,Bolton,Kearsley,"Kearsley Mount Methodist Church, Manchester Road Kearsley",BL4 8QL,Tuesday from 10.30-12.00,,kmmc3c@yahoo.co.uk,,A £2 a bag,Small fee applies,,,,N,Y,N,N,N,N,N,10:30,12:00,Tuesday from 10.30-12.00,N,N,N,N,N,N,Unknown,53.5385635,-2.3712297,Y,01/09/2025,original,,
Westhoughton Community Assist Service,Bolton,Westhoughton,"John holt Community Centre, Birch Avenue Westhoughton",BL5 2NR,Tuesday to Friday 9.30 -2pm Saturday 10-12.30,07869 696856,westhoughtonassist@gmail.com,https://www.facebook.com/groups/229124448236683/,Free to register for Westhoughton residents,Free (maximum twice per year),Food pantry; Preloved shop; Monthly welfare benefits advice; Money management; Housing support; Health services,,,N,Y,N,N,Y,Y,N,09:30,14:00,Tuesday to Friday 9.30 -2pm Saturday 10-12.30,N,N,N,Y,N,N,Unknown,53.5416336,-2.5197519,Y,01/09/2025,original,,
Humans MCR,Manchester,Blackley,1150 Rochdale Road Blackley,M9 6FQ,,0161 234 0171,info@humansmcr.org,https://www.humansmcr.org,Online referral required,Free,Emergency Food Parcels delivery; Community Grocers delivery,,Delivery service across Manchester City Council Wards and Bury and Salford; Once every two weeks,N,N,N,N,N,N,N,,,,Y,N,Y,N,N,N,Referral,53.530756,-2.2095943,Y,01/09/2025,original,,
Mustard Tree,Salford,Eccles,"13-15 Southway, Eccles, Salford",M30 0LJ,Monday Tuesday Wednesday Friday 10am A  2pm,0161 228 7331,referrals@mustardtree.org.uk,http://www.mustardtree.org.uk/,ID and proof of benefits required for registration,£3 for items worth approx. £10 - £20,Food Club (once per week); Other services available,,,Y,Y,Y,N,Y,N,N,10:00,14:00,Monday Tuesday Wednesday Friday 10am A  2pm,N,N,N,N,N,N,Unknown,53.48358,-2.3380899,Y,01/09/2025,postcode,,
Salford Foodbank,Salford,Eccles,St Andrews Chadwick Road,M30 0NZ,Mon 13:00 - 15:00; Thur. 10 - 12,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,Y,N,N,Y,N,N,N,13:00,15:00,Mon 13:00 - 15:00; Thur. 10 - 12,Y,N,N,N,N,N,Referral,53.4846831,-2.3451964,Y,01/09/2025,simplified_address,,
Bread and Butter Thing,Salford,Eccles,"Barton Moss Primary School, Trippier Rd, Eccles",M30 7PT,,,,https://breadandbutterthing.org/,Membership pantry,Free,Please make contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4768039,-2.3798408,Y,01/09/2025,simplified_address,,
Brookhouse Food Club (Bless Manchester),Salford,Eccles,"Brookhouse Community Centre, Buckthorn La, Eccles",M30 7QH,Mondays 12pm till 2pm,0161 786 1440,,,No referral required,£5 annual membership (instalments available); £4 per visit for £10-£15 worth of goods,Community cafe/Hub,Simon and Wendy Litchfield,,Y,N,N,N,N,N,N,,,Mondays 12pm till 2pm,N,Y,N,N,N,N,Both,53.4819946,-2.3560041,Y,01/09/2025,simplified_address,,
St James Community Lunches,Salford,Higher Broughton/Cheetham Boarder,Great Cheetham Street East,M7 4UH,Wednesday Thursday Friday 11 a. m. till 1 p. m.,,,,Registration required,Free bread items Thursday-Friday; £2.50 for 10-item food pantry,Hot meals and drinks; Food pantry,,Max 1 pantry visits per household per week; No limit to hot meals,N,N,Y,Y,Y,N,N,,,Wednesday Thursday Friday 11 a. m. till 1 p. m.,N,Y,N,N,N,N,Unknown,53.5032885,-2.2535913,Y,01/09/2025,original,,
Irlam and Cadishead Trussell Trust,Salford,Irlam and Cadishead,"St Joseph The Worker RC Church, Cutnook Lane",M44 6GX,Tues 9.30 A  12.30,,info@irlamcadishead.foodbank.org.uk,https://irlamcadishead.foodbank.org.uk,Foodbank Voucher,Free,Foodbank,,,N,Y,N,N,N,N,N,09:30,12:00,Tues 9.30 A  12.30,Y,N,N,N,N,N,Referral,53.4541659,-2.4178144,Y,01/09/2025,postcode,,
Emmanuel Church Centre,Salford,Langworthy,174 Langworthy Road,M6 5LX,Friday 10:00 - 12,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,N,N,N,N,Y,N,N,10:00,12:00,Friday 10:00 - 12,Y,N,N,N,N,N,Referral,53.4868484,-2.2948254,Y,01/09/2025,original,,
