Name,Borough,Area,Full_Address,Postcode,Opening_Times,Phone,Email,Website,Requirements,Cost,Services,Contact_Person,Notes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Opening_Time,Closing_Time,Time_Notes,Service_FoodBank,Service_CommunityMeals,Service_Delivery,Service_Clothing,Service_Utilities,Service_Furniture,Access_Type,Latitude,Longitude,Has_Complete_Info,Last_Updated,Coordinate_Source,Column1
St Andrew's Community Network - Clubmoor,Liverpool,Clubmoor,"Clubmoor Community Centre, 16 Larkhill Lane, Liverpool, L13 9BR",L13 9BR,Wednesday: 09:30-11:30,0151 226 3406,jo@standrewslive.org.uk,https://northliverpool.foodbank.org.uk/,Professional referral voucher required,Free,"Food Bank, Emergency Food Parcels, Toiletries, Household Items",Jo,Trussell Trust Network,N,N,Y,N,N,N,N,09:30:00,11:30:00,Wednesday only,Yes,No,No,No,No,No,Referral only,53.4472,-2.9094,Yes,2024-12-01,Verified,
Walton Cornerstone Centre,Liverpool,Walton,"2 Liston Street, Liverpool, L4 5RT",L4 5RT,Tuesday: 09:30-12:00,0151 226 3406,jo@standrewslive.org.uk,https://northliverpool.foodbank.org.uk/,Professional referral voucher required,Free,"Food Bank, Toiletries, Household Items",,Trussell Trust Network,N,Y,N,N,N,N,N,09:30:00,12:00:00,Tuesday only,Yes,No,No,No,No,No,Referral only,53.4381,-2.9679,Yes,2024-12-01,Verified,
Christ Church Anfield,Liverpool,Anfield,"157 Hartnup Street, Liverpool, L5 1UW",L5 1UW,Tuesday: 10:00-12:00,0151 226 3406,jo@standrewslive.org.uk,https://northliverpool.foodbank.org.uk/,Professional referral voucher required,Free,"Food Bank, Emergency Food Parcels",,Trussell Trust Network,N,Y,N,N,N,N,N,10:00:00,12:00:00,Tuesday only,Yes,No,No,No,No,No,Referral only,53.4389,-2.9567,Yes,2024-12-01,Verified,
Salvation Army Walton,Liverpool,Walton,"Cavendish Drive, Walton, Liverpool, L9 1HQ",L9 1HQ,Monday: 10:00-12:00,0151 226 3406,diane.gunning@salvationarmy.org.uk,https://northliverpool.foodbank.org.uk/,Professional referral voucher required,Free,"Food Bank, Emergency Food Parcels",,Trussell Trust Network,Y,N,N,N,N,N,N,10:00:00,12:00:00,Monday only,Yes,No,No,No,No,No,Referral only,53.4561,-2.9478,Yes,2024-12-01,Verified,
St Christopher's Church Norris Green,Liverpool,Norris Green,"Lorenzo Drive, Norris Green, Liverpool, L11 1BQ",L11 1BQ,Thursday: 12:00-14:00,0151 226 3406,jo@standrewslive.org.uk,https://northliverpool.foodbank.org.uk/,Professional referral voucher required,Free,"Food Bank, Emergency Food Parcels",,Trussell Trust Network,N,N,N,Y,N,N,N,12:00:00,14:00:00,Thursday only,Yes,No,No,No,No,No,Referral only,53.4489,-2.9234,Yes,2024-12-01,Verified,
Micah Liverpool - St Vincent de Paul,Liverpool,City Centre,"Hardy Street, Liverpool, L1 5JN",L1 5JN,Tuesday: 10:30-12:30,0151 702 7206,paul.obrien@liverpoolcathedral.org.uk,https://micahliverpool.com/our-food-bank/,Self-referral welcome - open to anybody in need,Free,"Food Bank, 3-day emergency parcels, Toiletries",Paul O'Brien,Supports 150-200 people per week,N,Y,N,N,N,N,N,10:30:00,12:30:00,Tuesday only,Yes,No,No,No,No,No,Open access,53.4037,-2.9697,Yes,2024-12-01,Verified,
Micah Liverpool - St Brides Church,Liverpool,L8,"Percy Street, Liverpool, L8 7LT",L8 7LT,Thursday: 10:30-12:30,0151 702 7206,paul.obrien@liverpoolcathedral.org.uk,https://micahliverpool.com/our-food-bank/,Self-referral welcome - open to anybody in need,Free,"Food Bank, 3-day emergency parcels, Toiletries",,Largest pantry - 280 people per week,N,N,N,Y,N,N,N,10:30:00,12:30:00,Thursday only,Yes,No,No,No,No,No,Open access,53.3931,-2.9756,Yes,2024-12-01,Verified,
Liverpool Lighthouse,Liverpool,Anfield,"Oakfield Road, Anfield, Liverpool, L4 0UF",L4 0UF,"Tue-Thu: 10:00-15:30, Wed Pantry: 12:30-14:00",0151 476 2342,admin@liverpoollighthouse.com,https://www.liverpoollighthouse.com/,"Registration for pantry, drop-in for meals","Free lunches, Pantry £3.50-£5","Food Bank, Community Meals, Fresh Food Pantry, Warm Space",,"Halal options, asylum seeker support",N,Y,Y,Y,N,N,N,10:00:00,15:30:00,Free lunch daily 12:00-13:30,Yes,Yes,No,No,No,No,Open/Membership,53.4389,-2.9611,Yes,2024-12-01,Verified,
Blue Base Community Pantry (Everton FC),Liverpool,Everton,"The Blue Base, Salop Street, Liverpool, L4 4BZ",L4 4BZ,Thursday: 10:00-12:00,Via Everton in the Community,,https://www.evertoninthecommunity.org/,Must live/school within boundary OR EitC participant,£3.50 per visit,"Food Bank, Fresh produce, Meat, Dairy, Hygiene",,"Free parking, not means tested",N,N,N,Y,N,N,N,10:00:00,12:00:00,Thursday only,Yes,No,No,No,No,No,Geographic restriction,53.4411,-2.9644,Yes,2024-12-01,Verified,
Your Local Pantry Kensington,Liverpool,Kensington,"212 Boaler Street, Kensington, Liverpool, L6 6AE",L6 6AE,Tuesday: 10:00-14:00,0151 708 9107,kfcasue@talk21.com,https://www.yourlocalpantry.co.uk/,"Membership required, Kensington residents",£3.50 per week,"Community Pantry, 10 items",,Choice-based shopping model,N,Y,N,N,N,N,N,10:00:00,14:00:00,Tuesday only,Yes,No,Yes,No,No,No,Membership required,53.4089,-2.9556,Yes,2024-12-01,Verified,
